,city,name,location,price,discount,m2,bedrooms,bathrooms,insert_date
806,Madrid,Box/plaza de garaje en venta en C. Moscareta,"Latina, Puerta Del Ángel, Madrid","20,000",0, 1, 9,unknown,2023-10-15
807,Madrid,Box/plaza de garaje en venta en C. Moscareta,"Latina, Puerta Del Ángel, Madrid","25,000",0, 1, 9,unknown,2023-10-15
808,Madrid,Box/plaza de garaje en venta en C. Moscareta,"Latina, Puerta Del Ángel, Madrid","30,000",0, 1, 9,unknown,2023-10-15
809,Madrid,Box/plaza de garaje en venta en Fuencarral,"Fuencarral - Tres Olivos - Virgen De Begoña, Madrid","7,500",0, 10,unknown,unknown,2023-10-15
810,Madrid,Piso en venta en San Blas,"Rosas, Madrid","155,000",0, 44, 2, 1,2023-10-15
811,Madrid,Piso en venta en Hortaleza,"Virgen Del Cortijo - Manoteras, Madrid","350,000",0, 116, 4, 2,2023-10-15
812,Madrid,Box/plaza de garaje en venta en Calle Francisco Medrano,"Tetuán, Cuzco - Castillejos, Madrid","15,000",0, 23,unknown,unknown,2023-10-15
813,Madrid,Terrenos en venta en Carabanchel,"San Isidro, Madrid","278,000",0, 115,unknown,unknown,2023-10-15
814,Madrid,Piso en venta en Usera,"Moscardo - Antonio Lopez, Madrid","100,000",0, 5, 2, 1,2023-10-15
815,Madrid,Box/plaza de garaje en venta en C. de Serrano,"Salamanca, Fuente Del Berro, Madrid","11,000",0, 16,unknown,unknown,2023-10-15
816,Madrid,Box/plaza de garaje en venta en Arganzuela,"Delicias - Embajadores, Madrid","12,000",0, 6,unknown,unknown,2023-10-15
817,Madrid,Box/plaza de garaje en venta en Centro,"Lavapiés - Embajadores, Madrid","140,000",0, 38, 1, 1,2023-10-15
818,Madrid,Piso en venta en Centro,"Lavapiés - Embajadores, Madrid","295,000",0, 87, 3, 1,2023-10-15
819,Madrid,Piso en venta en San Blas,"Rosas, Madrid","135,000",0, 77, 3, 1,2023-10-15
820,Madrid,Box/plaza de garaje en venta en Fuencarral,"Peñagrande, Madrid","9,500",0, 14,unknown, 1,2023-10-15
821,Madrid,Piso en venta en Usera,"Moscardo - Antonio Lopez, Madrid","105,000",0, 44, 2, 1,2023-10-15
822,Madrid,Piso en venta en Centro,"Malasaña - Justicia - Universidad, Madrid","1,375,900",0, 118, 2, 2,2023-10-15
823,Madrid,Piso en venta en Latina,"Aluche, Madrid","550,000",0, 175, 5, 2,2023-10-15
824,Madrid,Piso en venta en Fuencarral,"La Paz, Madrid","399,000",0, 120, 4, 2,2023-10-15
